Date & Time	Soil Moisture (%)	Humidity (%)	Temperature (°C)
05/18/2022 12:31	-6	66.00	33.80
05/18/2022 14:06	55	80.00	32.80
05/18/2022 14:36	51	81.00	32.00
05/18/2022 15:06	77	78.00	30.80
05/18/2022 15:36	76	80.00	30.40
05/18/2022 16:06	77	84.00	29.90
05/18/2022 16:36	75	83.00	29.60
05/18/2022 17:06	76	88.00	28.40
05/18/2022 17:36	77	85.00	29.20
05/18/2022 18:20	81	89.00	28.30
05/18/2022 18:50	76	90.00	28.30
05/18/2022 19:20	76	88.00	28.50
05/18/2022 19:50	77	86.00	28.80
05/18/2022 20:20	76	87.00	28.80
05/18/2022 20:50	76	86.00	28.70
05/18/2022 21:20	76	87.00	28.60
05/18/2022 21:50	76	87.00	28.60
05/18/2022 22:20	76	87.00	28.60
05/18/2022 22:50	77	85.00	28.60
05/18/2022 23:20	76	86.00	28.60
05/18/2022 23:50	76	86.00	28.50
05/19/2022 00:20	76	85.00	28.70
05/19/2022 00:50	76	87.00	28.20
05/19/2022 01:20	75	80.00	29.70
05/19/2022 01:50	76	80.00	29.70
05/19/2022 02:20	75	79.00	29.90
05/19/2022 02:50	75	78.00	29.80
05/19/2022 03:20	75	78.00	29.90
05/19/2022 03:50	75	79.00	30.00
05/19/2022 04:20	75	80.00	30.00
05/19/2022 04:50	76	81.00	30.10
05/19/2022 05:20	75	80.00	30.00
05/19/2022 05:50	75	79.00	30.00
05/19/2022 06:20	80	88.00	27.60
05/19/2022 06:50	76	85.00	28.30
05/19/2022 07:20	76	84.00	29.10
05/19/2022 07:50	76	84.00	29.80
05/19/2022 08:20	76	80.00	30.30
05/19/2022 08:50	75	78.00	31.00
05/19/2022 09:20	79	79.00	31.50
05/19/2022 09:50	80	75.00	31.80
05/19/2022 10:20	83	78.00	31.80
05/19/2022 10:50	80	73.00	32.30
05/19/2022 11:20	79	79.00	32.30
05/19/2022 11:50	80	79.00	32.40
05/19/2022 12:20	80	76.00	32.50
05/19/2022 12:50	79	77.00	32.40
05/19/2022 13:20	80	83.00	31.80
05/19/2022 13:50	80	78.00	31.60
05/19/2022 14:20	80	78.00	30.90
05/19/2022 14:50	80	82.00	30.40
05/19/2022 15:20	80	81.00	30.30
05/19/2022 15:50	79	85.00	29.50
05/19/2022 16:20	79	86.00	29.40
05/19/2022 16:50	79	85.00	29.10
05/19/2022 17:20	80	84.00	29.40
05/19/2022 17:50	80	84.00	29.40
05/19/2022 18:20	80	85.00	28.90
05/19/2022 18:50	75	84.00	29.40
05/19/2022 19:20	75	83.00	29.60
05/19/2022 19:50	75	83.00	29.50
05/19/2022 20:20	75	83.00	29.40
05/19/2022 20:50	75	84.00	29.50
05/19/2022 21:20	76	83.00	29.60
05/19/2022 21:50	76	79.00	30.20
05/19/2022 22:20	76	78.00	30.50
05/19/2022 22:50	77	81.00	29.50
05/19/2022 23:20	77	83.00	29.10
05/19/2022 23:50	77	83.00	29.00
05/20/2022 00:20	77	82.00	28.80
05/20/2022 00:50	78	82.00	28.80
