Date & Time	Soil Moisture (%)	Humidity (%)	Temperature (°C)
05/22/2022 01:12	84	49	30.5
05/22/2022 01:42	84	43	30.2
05/22/2022 02:12	84	48	30
05/22/2022 02:42	84	47	30.8
05/22/2022 03:12	84	46	30.7
05/22/2022 03:42	82	46	30.8
05/22/2022 04:12	82	49	30.1
05/22/2022 04:42	82	48	30.8
05/22/2022 05:12	82	47	30.7
05/22/2022 05:42	82	48	30.4
05/22/2022 06:12	82	47	30.3
05/22/2022 06:42	82	46	30.8
05/22/2022 07:12	82	47	30.7
05/22/2022 07:42	82	47	30.4
05/22/2022 08:12	82	55	30.7
05/22/2022 08:42	82	60	30.4
05/22/2022 09:12	82	63	30.8
05/22/2022 09:42	81	65	30.2
05/22/2022 10:12	82	66	30.6
05/22/2022 10:42	81	66	30
05/22/2022 11:12	81	64	30.6
05/22/2022 11:42	81	67	31
05/22/2022 12:12	81	66	30.9
05/22/2022 12:42	81	70	30.4
05/22/2022 13:12	81	69	30.3
05/22/2022 13:42	81	68	30.2
05/22/2022 14:12	81	67	30.7
05/22/2022 14:42	81	67	30.6
05/22/2022 15:12	81	66	30.7
05/22/2022 15:42	81	68	30.6
05/22/2022 16:12	81	67	30.8
05/22/2022 16:42	81	66	30.9
05/22/2022 17:12	80	66	30.8
05/22/2022 17:42	80	67	30.8
05/22/2022 18:12	80	69	31.2
05/22/2022 18:42	81	70	31.3
05/22/2022 19:12	82	70	31.2
05/22/2022 21:39	84	75	30.5
05/22/2022 22:09	84	75	30.4
05/22/2022 22:39	84	76	30.2
05/22/2022 23:09	84	53	30.5
05/22/2022 23:39	84	47	30.9
05/23/2022 00:09	84	46	30.1
05/23/2022 00:39	85	47	30.9
05/23/2022 01:09	85	49	30.7
05/23/2022 01:39	85	47	30.4
05/23/2022 02:09	85	46	30.4
05/23/2022 02:39	85	48	30.8
05/23/2022 03:09	85	45	30.7
05/23/2022 03:39	85	50	30.5
05/23/2022 04:09	85	47	30.6
05/23/2022 04:39	85	47	30.6
05/23/2022 05:09	85	48	30.6
05/23/2022 05:39	85	54	30.7
05/23/2022 06:09	85	58	30.7
05/23/2022 06:39	85	52	30.7
05/23/2022 07:09	85	50	30.7
05/23/2022 07:39	85	48	30.7
05/23/2022 08:09	85	50	30.8
05/23/2022 08:39	85	54	30.8
05/23/2022 09:09	85	52	30.8
05/23/2022 09:39	85	49	30.8
05/23/2022 10:09	85	51	30.8
05/23/2022 10:39	85	48	30.9
05/23/2022 11:09	85	47	30.9
05/23/2022 11:39	85	45	30.9
05/23/2022 12:09	85	45	30.9
05/23/2022 12:39	85	45	30.2
05/23/2022 13:09	84	56	31.4
05/23/2022 13:39	84	56	32
05/23/2022 14:09	84	55	32.3
05/23/2022 14:39	83	56	32.6
05/23/2022 15:09	83	57	32.6
05/23/2022 15:39	83	57	32.7
05/23/2022 16:09	83	57	33.1
05/23/2022 16:39	83	56	32.7
05/23/2022 17:09	83	58	32.7
05/23/2022 17:39	83	60	32.4
05/23/2022 18:09	83	62	32.7
05/23/2022 18:39	83	61	32.9
05/23/2022 19:09	83	61	33.2
05/23/2022 19:39	84	59	32.9
05/23/2022 20:09	84	61	31.9
05/23/2022 20:39	84	61	31.7
05/23/2022 21:09	84	63	31.2
05/23/2022 21:39	83	60	31.4
05/23/2022 22:09	84	49	30.2
05/23/2022 22:39	84	45	30.6
05/23/2022 23:09	84	36	30.6
05/23/2022 23:39	84	36	30.9
05/24/2022 00:09	85	35	30.4
05/24/2022 00:39	85	33	30
05/24/2022 01:09	85	33	30.7
05/24/2022 01:39	85	37	30
05/24/2022 02:09	85	39	30.6
05/24/2022 02:39	85	40	30.7
05/24/2022 03:09	85	39	30.2
05/24/2022 03:39	85	40	30.2
05/24/2022 04:09	85	39	30.9
05/24/2022 04:39	85	41	30
05/24/2022 05:09	85	39	30
05/24/2022 05:39	85	42	30.9
05/24/2022 06:09	85	49	30.2
05/24/2022 06:39	85	50	30.8
05/24/2022 07:09	84	52	29.2
05/24/2022 07:39	84	55	29.4
05/24/2022 08:09	84	55	29.7
05/24/2022 08:39	84	57	29.7
05/24/2022 09:09	84	57	30
05/24/2022 09:39	84	68	30.7
05/24/2022 10:09	84	70	31
05/24/2022 10:39	84	64	31.3
05/24/2022 11:09	84	66	31.5
05/24/2022 11:39	84	65	31.8
05/24/2022 12:09	83	63	32.2
05/24/2022 12:39	83	61	32.5
05/24/2022 13:09	83	60	32.6
05/24/2022 13:39	83	57	32.6
05/24/2022 14:09	83	58	32.8
05/24/2022 14:39	83	58	32.9
05/24/2022 15:09	83	58	32.8
05/24/2022 15:39	83	58	32.8
05/24/2022 16:09	83	58	32.9
05/24/2022 16:39	83	59	33
05/24/2022 17:09	83	59	32.9
05/24/2022 17:39	83	61	32.6
05/24/2022 18:09	83	62	31.9
05/24/2022 18:39	83	63	31.6
05/24/2022 19:09	83	64	31.2
05/24/2022 19:39	83	63	30.9
05/24/2022 20:09	83	64	31.5
05/24/2022 20:39	83	66	30.9
05/24/2022 21:09	83	69	30.7
05/24/2022 21:39	83	70	31.1
05/24/2022 22:09	83	45	29.5
05/24/2022 22:39	83	38	28.5
05/24/2022 23:09	83	41	28.8
05/24/2022 23:39	84	42	28.7
05/25/2022 00:09	84	41	28.3
05/25/2022 00:39	84	44	28.1
05/25/2022 01:09	84	41	28
05/25/2022 01:39	90	43	27.7
05/25/2022 02:09	90	41	27.7
05/25/2022 02:39	90	42	27.7
05/25/2022 03:09	90	41	27.5
05/25/2022 03:39	90	39	28.6
05/25/2022 04:09	90	38	28.2
05/25/2022 04:39	90	40	28.5
05/25/2022 05:09	90	40	28.2
05/25/2022 05:39	90	41	28.2
05/25/2022 06:09	90	42	28.9
05/25/2022 06:39	90	41	28.9
05/25/2022 07:09	90	40	28.8
05/25/2022 07:39	90	40	28.8
05/25/2022 08:09	90	44	28.8
05/25/2022 08:39	90	48	28.8
05/25/2022 09:09	89	51	29.2
05/25/2022 09:39	89	53	29.9
05/25/2022 10:09	89	53	30.6
05/25/2022 10:39	89	54	31.1
05/25/2022 11:09	89	55	31.6
05/25/2022 11:39	89	55	32.2
05/25/2022 12:09	89	55	32.6
05/25/2022 12:39	89	59	32.4
05/25/2022 13:09	88	59	32.7
05/25/2022 13:39	88	57	32.7
05/25/2022 14:09	88	56	33.2
05/25/2022 14:39	88	55	33.2
05/25/2022 15:09	88	54	33.3
05/25/2022 15:39	88	53	33.4
05/25/2022 16:09	88	53	33.2
05/25/2022 16:39	88	52	33.2
05/25/2022 17:09	88	53	33.4
05/25/2022 17:39	88	57	33.2
05/25/2022 18:09	88	57	33
05/25/2022 18:39	88	57	32.8
05/25/2022 19:09	88	58	32.6
05/25/2022 19:56	88	60	33
05/25/2022 20:26	88	60	33.2
05/25/2022 22:42	95	59	29.8
05/25/2022 23:12	95	42	29.3
05/25/2022 23:42	96	36	28.8
05/26/2022 00:12	96	34	28.4
05/26/2022 00:42	96	36	28.7
05/26/2022 01:12	96	33	28.2
05/26/2022 01:42	96	36	28
05/26/2022 02:12	96	38	28
05/26/2022 02:42	96	39	28.9
05/26/2022 03:12	96	40	28
05/26/2022 03:42	96	39	28
05/26/2022 04:12	96	40	28.6
05/26/2022 04:42	97	40	28.4
05/26/2022 05:12	97	41	28.4
05/26/2022 05:42	97	40	28.1
05/26/2022 06:12	97	40	28.2
05/26/2022 06:42	97	39	28.9
05/26/2022 07:12	97	39	28.9
05/26/2022 07:42	97	39	28.8
05/26/2022 08:12	97	40	28.8
05/26/2022 08:42	97	40	28
05/26/2022 09:12	97	38	28.9
05/26/2022 09:42	96	43	28.1
05/26/2022 10:12	96	47	28.9
05/26/2022 10:42	96	64	29.8
05/26/2022 11:12	96	61	30.4
05/26/2022 11:42	95	62	30.9
05/26/2022 12:12	96	57	30.8
05/26/2022 12:42	95	57	31.3
05/26/2022 13:12	95	59	31.7
05/26/2022 13:42	95	60	31.9
05/26/2022 14:12	95	58	32.6
05/26/2022 14:42	95	56	32.8
05/26/2022 15:12	95	56	32.8
05/26/2022 15:42	95	57	33
05/26/2022 16:12	95	56	33
05/26/2022 16:42	95	55	32.9
05/26/2022 17:12	94	55	32.9
05/26/2022 17:42	95	57	32.5
05/26/2022 18:12	94	59	32.5
05/26/2022 18:42	94	61	32.4
05/26/2022 19:12	95	64	32
05/26/2022 19:42	94	63	32.2
05/26/2022 20:12	94	65	32.3
05/26/2022 20:42	94	66	31.9
05/26/2022 21:12	95	66	32.2
05/26/2022 21:42	95	71	30.7
05/26/2022 22:12	95	48	29.3
05/26/2022 22:42	95	40	28.4
05/26/2022 23:12	95	37	28.8
05/26/2022 23:42	96	36	28.2
05/27/2022 00:12	96	39	28.4
05/27/2022 00:42	96	40	28.4
05/27/2022 01:12	96	42	28.2
05/27/2022 01:42	96	41	28.8
05/27/2022 02:12	96	41	28.7
05/27/2022 02:42	96	41	28.7
05/27/2022 03:12	97	43	28.7
05/27/2022 03:42	97	42	28.5
05/27/2022 04:12	97	41	28
05/27/2022 04:42	97	40	28.8
05/27/2022 05:12	97	42	28.9
05/27/2022 05:42	97	43	28.5
05/27/2022 06:12	97	43	28.5
05/27/2022 06:42	97	41	28.2
05/27/2022 07:12	97	44	28.6
05/27/2022 07:42	97	41	28.4
05/27/2022 08:12	97	41	28.1
05/27/2022 08:42	97	48	28.7
05/27/2022 09:12	97	52	28.1
05/27/2022 09:42	96	57	29
05/27/2022 10:12	96	60	29.5
05/27/2022 10:42	96	59	30.1
05/27/2022 11:12	96	62	30.3
05/27/2022 11:42	96	63	30.4
05/27/2022 12:12	96	66	30.2
05/27/2022 12:42	95	68	30.4
05/27/2022 13:12	95	68	30.2
05/27/2022 13:42	95	69	30.1
05/27/2022 14:12	98	69	30.2
05/27/2022 14:42	96	67	30.2
05/27/2022 15:12	96	69	29.9
05/27/2022 15:42	95	68	30.6
05/27/2022 16:12	95	66	30.9
05/27/2022 16:42	95	66	30.9
05/27/2022 17:12	95	67	30.5
05/27/2022 17:42	95	68	30.2
05/27/2022 18:12	95	68	30.2
